week,V1,transactions,SP
04-01-2015,281.45,96545.8,2031.208
11-01-2015,228.182,106226.4,2014.93
18-01-2015,221.205,95398.25,2042.41
25-01-2015,252.892,92976.8,2021.008
01-02-2015,227.234,88173.2,2046.076
08-02-2015,221.23,101173.6,2073.866
15-02-2015,239.655,100493.25,2101.943
22-02-2015,237.876,102865,2110.848
01-03-2015,271.112,101886.2,2099.2
08-03-2015,288.694,100994.6,2056.636
15-03-2015,275.786,102843,2090.468
22-03-2015,255.01,99351.2,2074.828
29-03-2015,245.115,113219.75,2070.195
05-04-2015,251.52,111272,2086.418
12-04-2015,225.158,106992.8,2096.214
19-04-2015,230.464,111948,2107.254
26-04-2015,226.664,111349.2,2104.866
03-05-2015,235.948,110270.2,2097.64
10-05-2015,238.846,107415.4,2109.352
17-05-2015,233.83,102776.8,2127.952
24-05-2015,235.755,112876.25,2113.965
31-05-2015,225.066,122610,2104.814
07-06-2015,227.13,121731.8,2093.52
14-06-2015,242.752,126840.6,2102.478
21-06-2015,243.292,117179.6,2111.886
28-06-2015,256.2075,141578.5,2068.738
05-07-2015,269.002,190149.4,2064.942
12-07-2015,290.77,125835.2,2113.376
19-07-2015,277.16,121968,2108.688
26-07-2015,291.864,129571.2,2096.386
02-08-2015,281.292,126466.4,2090.466
09-08-2015,266.502,115648.4,2089.846
16-08-2015,239.288,117404,2057.118
23-08-2015,222.276,122131.4,1935.572
30-08-2015,228.622,128078.2,1941.448
06-09-2015,240.4475,139197.25,1956.197
13-09-2015,229.95,183553.2,1974.932
20-09-2015,230.054,130679.2,1942.41
27-09-2015,236.538,138631,1912.214
04-10-2015,242.364,131996.2,1998.224
11-10-2015,250.098,141610.8,2014.472
18-10-2015,267.54,146277.4,2042.206
25-10-2015,296.888,151614.4,2079.238
01-11-2015,377.174,182474,2103.056
08-11-2015,347.556,158680.2,2060.862
15-11-2015,329.052,158106,2071.524
22-11-2015,330.8075,152423,2088.677
29-11-2015,366.28,176528.6,2080.772
06-12-2015,405.482,206133.8,2050.576
13-12-2015,450.64,221207.8,2037.172
20-12-2015,439.6775,220866,2046.35
27-12-2015,426.2125,172389,2060.54
03-01-2016,437.06,181491.2,1976.95
10-01-2016,439.118,188205,1910.96
17-01-2016,398.2175,208088.75,1879.138
24-01-2016,391.99,226353.8,1899.452
31-01-2016,373.872,216298.6,1910.088
07-02-2016,375.434,222996.6,1850.274
14-02-2016,410.4025,218397.5,1914.503
21-02-2016,428.252,225459.2,1939.264
28-02-2016,428.972,248351.4,1978.084
06-03-2016,411.81,190496.6,1996.408
13-03-2016,415.734,204020,2030.592
20-03-2016,414.5275,195279,2043.513
27-03-2016,418.452,202583,2057.706
03-04-2016,420.286,215409.8,2053.494
10-04-2016,423.464,226771.6,2069.928
17-04-2016,436.7,217491.4,2096.12
24-04-2016,457.07,243516.8,2083.15
01-05-2016,448.732,231178,2060.738
08-05-2016,455.37,233427.4,2063.652
15-05-2016,450.692,228411.8,2050.772
22-05-2016,445.262,230499.8,2080.76
29-05-2016,533.69,228850.25,2100.168
05-06-2016,578.624,229368,2110.442
12-06-2016,702.884,255801.4,2075.018
19-06-2016,672.548,242412.8,2081.666
26-06-2016,646.226,218301.8,2061.842
03-07-2016,665.56,213974.75,2104.02
10-07-2016,654.834,217480.4,2153.444
17-07-2016,671.898,222284,2168.778
24-07-2016,655.706,235853.6,2169.58
31-07-2016,580.332,235601.6,2167.756
07-08-2016,589.348,239784.6,2181.592
14-08-2016,569.838,236193.2,2184.282
21-08-2016,579.404,232660,2177.298
28-08-2016,572.486,233193.2,2175.658
04-09-2016,613.385,232616.75,2170.438
11-09-2016,607.312,224990.2,2139.65
18-09-2016,602.202,232297,2156.774
25-09-2016,603.602,239954.4,2159.36
02-10-2016,609.234,265789.6,2157.186
09-10-2016,627.062,237885.6,2141.02
16-10-2016,633.414,244714.2,2138.578
23-10-2016,660.94,252918,2138.674
30-10-2016,709.13,255377.4,2101.93
06-11-2016,711.464,273285.8,2153.254
13-11-2016,718.68,278806.4,2178.11
20-11-2016,737.24,290934.75,2204.797
27-11-2016,735.928,287198.8,2197.644
04-12-2016,761.068,292008.6,2232.802
11-12-2016,775.528,281758.6,2260.412
18-12-2016,815.272,304784,2264.644
25-12-2016,943.35,298340.75,2251.722
01-01-2017,1040.015,316303,2268.64
08-01-2017,859.502,292953,2271.64
15-01-2017,881.425,297194.75,2268.695
22-01-2017,906.816,279104.2,2287.002
29-01-2017,957.676,297754.6,2283.518
05-02-2017,1024.784,302388.8,2300.856
12-02-2017,1011.094,300226,2342.692
19-02-2017,1131.62,307750.5,2364.838
26-02-2017,1209.62,318518,2378.878
05-03-2017,1226.324,304971,2368.83
12-03-2017,1228.464,299027.6,2376.762
19-03-2017,1043.136,291814.6,2351.176
26-03-2017,1023.558,271682.8,2358.414
02-04-2017,1139.092,289327.8,2356.996
09-04-2017,1211.8575,272012.25,2346.205
16-04-2017,1196.18,291329.6,2346.78
23-04-2017,1277.086,297136.8,2384.636
30-04-2017,1446.288,309005.2,2391.288
07-05-2017,1706.724,324361.4,2396.254
14-05-2017,1774.174,297827.8,2381.494
21-05-2017,2214.47,343534.8,2405.544
28-05-2017,2300.7125,315210.75,2423.46
04-06-2017,2718.598,303325.4,2432.826
11-06-2017,2637.546,282319.2,2434.654
18-06-2017,2646.834,269807.6,2439.78
25-06-2017,2518.026,259973.6,2428.45
02-07-2017,2599.52,235242.67,2422.49
09-07-2017,2374.818,249683.4,2440.662
16-07-2017,2307.25,248660,2467.914
23-07-2017,2649.14,238907.4,2474.478
30-07-2017,2764.51,204203.4,2474.642
06-08-2017,3350.628,265499.4,2461.876
13-08-2017,4244.996,300159.8,2450.824
20-08-2017,4119.442,232152.6,2441.388
27-08-2017,4525.128,268149.4,2459.266
03-09-2017,4453.4725,272508.75,2462.48
10-09-2017,3936.622,266637.8,2495.762
17-09-2017,3833.07,243943.2,2504.316
24-09-2017,3974.636,255725.2,2505.992
01-10-2017,4327.508,273380.4,2540.568
08-10-2017,4882.784,299097.8,2550.942
15-10-2017,5663.934,329627.2,2563.114
22-10-2017,5803.202,298250,2566.546
29-10-2017,6492.452,312842.6,2579.028
05-11-2017,7208.518,304207.4,2588.614
12-11-2017,6824.998,304019,2578.564
19-11-2017,8107.93,331265.75,2595.168
26-11-2017,9716.512,388123.4,2628.866
03-12-2017,13027.192,401998.2,2637.352
10-12-2017,16275.786,412494.8,2662.954
17-12-2017,17415.66,371853.6,2683.758
24-12-2017,14763.7825,303489.75,2681.068
31-12-2017,14594.335,376164.5,2719.003
07-01-2018,14752.274,338276,2760.206
14-01-2018,11781.8725,293152.5,2796.828
21-01-2018,11131.644,244992,2844.352
28-01-2018,10462.648,233328.6,2816.776
04-02-2018,7734.028,205070.2,2645.258
11-02-2018,8999.404,190448,2696.198
18-02-2018,10688.58,193021,2717.213
25-02-2018,10358.724,204827.6,2721.326
04-03-2018,10586.392,203206.8,2740.28
11-03-2018,8860.16,193748.2,2759.43
18-03-2018,8672.936,189309.4,2674.748
25-03-2018,8088.08,186211.75,2629.26
01-04-2018,6983.336,181505.6,2621.666
08-04-2018,7112.048,194877.4,2646.502
15-04-2018,8161.68,203993.2,2691.228
22-04-2018,9117.672,224370.4,2656.22
29-04-2018,9337.408,214990.4,2646.334
06-05-2018,9302.708,210407.4,2698.626
13-05-2018,8448.232,207423.6,2719.428
20-05-2018,7998.658,206437.2,2727.966
27-05-2018,7359.865,205963.25,2713.44
03-06-2018,7634.016,207448,2763.484
10-06-2018,6626.342,211102,2781.326
17-06-2018,6676.464,197851.2,2761.66
24-06-2018,6105.246,193918.4,2714.888
01-07-2018,6537.4825,204158.5,2734.09
08-07-2018,6475.728,207330.2,2790.326
15-07-2018,7049.506,226229,2805.984
22-07-2018,7930.266,240024.4,2825.942
29-07-2018,7854.252,233935.4,2819.964
05-08-2018,6699.542,227087.4,2850.682
12-08-2018,6267.788,236409.2,2834.216
19-08-2018,6420.432,220058.6,2862.7
26-08-2018,6941.216,233534,2902.19
02-09-2018,6955.195,240448.25,2883.762
09-09-2018,6327.35,230234.2,2892.62
16-09-2018,6395.814,252434.6,2912.296
23-09-2018,6573.45,247327,2913.776
30-09-2018,6554.156,243554.2,2912.142
07-10-2018,6529.194,246897.8,2809.19
14-10-2018,6517.18,258510,2781.296
21-10-2018,6486.316,254095.8,2703.386
28-10-2018,6354.07,283201.8,2699.81
04-11-2018,6470.28,286783.4,2779.098
11-11-2018,6113.406,289314,2723.29
18-11-2018,4985.6833,270454.33,2660.85
25-11-2018,4033.568,255286.8,2719.476
02-12-2018,3816.1825,261096.25,2704.865
09-12-2018,3452.908,263097.2,2635.212
16-12-2018,3677.402,287064.2,2496.62
23-12-2018,3769.5433,296530.67,2480.757
30-12-2018,3870.02,281494.67,2496.62
06-01-2019,3957.632,311614.4,2580.392
13-01-2019,3618.888,307465.2,2623.136
20-01-2019,3570.005,299691.25,2644.673
27-01-2019,3467.898,329898,2675.106
03-02-2019,3435.234,345455.8,2721.622
10-02-2019,3632.598,318232.2,2745.778
17-02-2019,3942.3475,327615.75,2783.003
24-02-2019,3825.996,354002.2,2794.114
03-03-2019,3836.296,287110.8,2769.182
10-03-2019,3892.95,292650,2803.34
17-03-2019,4014.308,300089,2829.066
24-03-2019,3992.724,367061.4,2814.406
31-03-2019,4604.124,374482.2,2875.992
07-04-2019,5195.822,378911.6,2891.582
14-04-2019,5151.4275,368427,2904.53
21-04-2019,5361.396,364668.8,2926.99
28-04-2019,5309.712,396984,2935.15
05-05-2019,5848.296,357206.4,2889.612
12-05-2019,7777.458,372683,2846.618
19-05-2019,7931.89,384116.6,2841.832
26-05-2019,8606.345,367863.25,2781.582
02-06-2019,8027.804,351251.4,2818.14
09-06-2019,7997.902,350259.6,2886.182
16-06-2019,9239.14,356958.2,2927.704
23-06-2019,11532.756,383499,2928.638
30-06-2019,10707.2833,369275,2977.72
07-07-2019,11965.928,349378.6,2992.466
14-07-2019,10154.204,330595.2,2994.896
21-07-2019,10080.534,318297.6,3007.918
28-07-2019,9822.466,341766,2980.028
04-08-2019,11638.224,351139.8,2893.446
11-08-2019,10826.07,341491.8,2877.18
18-08-2019,10447.36,327051.6,2903.73
25-08-2019,9973.932,336267.4,2897.304
01-09-2019,10542.4725,353328.25,2949.69
08-09-2019,10280.096,327942,2995.142
15-09-2019,10239.978,348268.6,3001.85
22-09-2019,8951.582,329767.4,2976.532
29-09-2019,8261.12,327786.6,2933.448
06-10-2019,8289.316,333335.8,2931.93
13-10-2019,8175.75,331226.4,2987.134
20-10-2019,7876.356,335003.2,3008.014
27-10-2019,9303.25,308338.6,3045.51
03-11-2019,9296.396,318888.8,3081.586
10-11-2019,8728.5175,323873.75,3100.743
17-11-2019,8099.92,317576,3112.9
24-11-2019,7158.07,307416.75,3142.193
01-12-2019,7319.574,323076,3116.634
08-12-2019,7294.408,311924.8,3149.496
15-12-2019,7007.59,322560,3200.34
22-12-2019,7305.9025,303387,3231.83
29-12-2019,7181.2425,307507,3236.193
05-01-2020,7827.37,322807,3255.312
12-01-2020,8531.51,324229.4,3301.4
19-01-2020,8598.945,321900.25,3315.887
26-01-2020,9130.414,325369.2,3260.49
02-02-2020,9426.354,331822.8,3310.938
09-02-2020,10177.862,334892.2,3368.678
16-02-2020,9774.04,330241.25,3366.855
23-02-2020,9310.506,340164.2,3080.694
01-03-2020,8805.524,346360.4,3044.006
08-03-2020,7324.728,318435.4,2712.366
15-03-2020,5467.566,266052.4,2405.546
22-03-2020,6511.096,265099.4,2466.366
29-03-2020,6436.192,285369.8,2539.458
05-04-2020,7172.805,291627.25,2715.722
12-04-2020,6876.21,300976.4,2813.032
19-04-2020,7086.278,309903.2,2798.714
26-04-2020,7751.7533,322031,2893.793
